[1, 3, 5, 0, 6, 4, 2, 7] : 114.73773
[1, 3, 5, 0, 6, 4, 7, 2] : 102.17913
[1, 3, 5, 0, 6, 7, 2, 4] : 107.25953
[1, 3, 5, 0, 6, 7, 4, 2] : 99.12101
[2, 1, 0, 3, 4, 5, 6, 7] : 106.000046
[2, 1, 0, 3, 4, 7, 6, 5] : 109.836105
[2, 1, 0, 3, 5, 4, 6, 7] : 114.194046
[2, 1, 0, 3, 5, 4, 7, 6] : 120.106674
[2, 1, 0, 3, 5, 6, 4, 7] : 109.81958
[2, 1, 0, 3, 5, 6, 7, 4] : 106.76146
[2, 1, 0, 5, 3, 4, 6, 7] : 105.090485
[2, 1, 0, 5, 3, 4, 7, 6] : 111.003105
[2, 1, 0, 5, 6, 7, 4, 3] : 95.26036
[2, 1, 0, 6, 5, 3, 4, 7] : 102.79561
[2, 1, 0, 6, 7, 4, 3, 5] : 111.006134
[2, 1, 0, 6, 7, 4, 5, 3] : 105.533966
[2, 1, 3, 0, 5, 4, 6, 7] : 105.38356
[2, 1, 3, 0, 5, 4, 7, 6] : 111.29618
[2, 1, 3, 0, 5, 6, 4, 7] : 101.009094
[2, 1, 3, 0, 5, 6, 7, 4] : 97.95097
[2, 1, 3, 0, 6, 5, 4, 7] : 103.08869
[2, 1, 3, 0, 6, 7, 4, 5] : 111.29921
[2, 1, 3, 4, 5, 0, 6, 7] : 98.3596
[2, 1, 3, 4, 7, 6, 0, 5] : 102.19565
[2, 1, 3, 5, 0, 6, 4, 7] : 102.17913
[2, 1, 3, 5, 0, 6, 7, 4] : 99.12101
[2, 3, 1, 0, 5, 4, 6, 7] : 106.130486
[2, 3, 1, 0, 5, 4, 7, 6] : 112.043106
[2, 3, 1, 0, 5, 6, 4, 7] : 101.75601
[2, 3, 1, 0, 5, 6, 7, 4] : 98.6979
[2, 3, 1, 0, 6, 5, 4, 7] : 103.83561
[2, 3, 1, 0, 6, 7, 4, 5] : 112.04614
[2, 4, 3, 1, 0, 5, 6, 7] : 100.33401
[2, 4, 5, 3, 1, 0, 6, 7] : 110.60761
[2, 4, 7, 6, 0, 1, 3, 5] : 114.443665
[2, 4, 7, 6, 5, 0, 1, 3] : 98.69789
[2, 7, 4, 3, 1, 0, 5, 6] : 109.304756
[2, 7, 4, 3, 1, 0, 6, 5] : 109.307785
[2, 7, 4, 5, 3, 1, 0, 6] : 119.578354
[2, 7, 4, 5, 6, 0, 1, 3] : 103.8356
[2, 7, 4, 6, 0, 1, 3, 5] : 117.501785
[2, 7, 4, 6, 5, 0, 1, 3] : 101.75601
[2, 7, 6, 0, 1, 3, 4, 5] : 113.68225
[2, 7, 6, 0, 1, 3, 5, 4] : 110.60761
[2, 7, 6, 4, 3, 1, 0, 5] : 111.60265
[2, 7, 6, 4, 5, 0, 1, 3] : 106.13048
[2, 7, 6, 5, 0, 1, 3, 4] : 100.33401
[3, 0, 1, 2, 4, 5, 6, 7] : 111.396286
[3, 0, 1, 2, 4, 7, 6, 5] : 106.76146
[3, 0, 1, 2, 7, 4, 5, 6] : 112.95191
[3, 0, 1, 2, 7, 4, 6, 5] : 109.81958
[3, 0, 1, 2, 7, 6, 4, 5] : 114.194046
[3, 0, 1, 2, 7, 6, 5, 4] : 106.000046
[3, 1, 0, 5, 4, 2, 7, 6] : 111.660355
[3, 1, 0, 5, 6, 4, 2, 7] : 108.788376
[3, 1, 0, 5, 6, 7, 2, 4] : 100.33401
[3, 1, 0, 6, 5, 4, 2, 7] : 110.867966
[3, 1, 0, 6, 7, 2, 4, 5] : 110.607605
[3, 1, 2, 4, 5, 0, 6, 7] : 103.75584
[3, 1, 2, 4, 7, 6, 0, 5] : 99.121
[3, 1, 2, 7, 4, 5, 0, 6] : 105.31146
[3, 1, 2, 7, 4, 6, 0, 5] : 102.17912
